# C1    C2   C3     C4      T
0.00 0.00 0.00 2.00 1023.00
0.00 0.00 0.00 3.00 1023.00
0.00 0.00 0.00 4.00 1023.00
0.00 0.00 0.00 5.00 1023.00
0.00 0.00 0.00 6.00 1023.00
0.00 0.00 0.00 7.00 1023.00
0.00 0.00 0.00 7.00 1023.00
0.00 0.00 0.00 8.00 1023.00
0.00 0.00 0.00 30.00 1023.00
0.00 0.00 0.00 142.00 1023.00
0.00 0.00 0.00 244.00 1023.00
0.00 0.00 0.00 278.00 1023.00
0.00 0.00 0.00 285.00 1023.00
0.00 0.00 0.00 293.00 1023.00
0.00 0.00 0.00 298.00 1023.00
1.00 0.00 0.00 304.00 1023.00
1.00 0.00 0.00 300.00 1023.00
1.00 0.00 0.00 313.00 1023.00
1.00 0.00 0.00 321.00 1023.00
1.00 0.00 0.00 324.00 1023.00
2.00 0.00 0.00 314.00 1023.00
1.00 0.00 0.00 308.00 1023.00
1.00 0.00 0.00 314.00 1023.00
1.00 0.00 0.00 315.00 1023.00
1.00 0.00 0.00 314.00 1023.00
1.00 0.00 0.00 318.00 1023.00
2.00 0.00 0.00 313.00 1023.00
2.00 0.00 0.00 318.00 1023.00
2.00 0.00 0.00 327.00 1023.00
3.00 0.00 0.00 328.00 1023.00
3.00 0.00 0.00 326.00 1023.00
3.00 0.00 0.00 324.00 1023.00
3.00 0.00 0.00 344.00 1023.00
3.00 0.00 0.00 325.00 1023.00
3.00 0.00 0.00 344.00 1023.00
4.00 0.00 0.00 323.00 1023.00
6.00 0.00 0.00 322.00 1023.00
6.00 0.00 0.00 323.00 1023.00
6.00 0.00 0.00 320.00 1023.00
6.00 0.00 0.00 322.00 1023.00
6.00 0.00 0.00 323.00 1023.00
6.00 0.00 0.00 322.00 1023.00
5.00 0.00 0.00 324.00 1023.00
7.00 0.00 0.00 319.00 1023.00
9.00 0.00 0.00 313.00 1023.00
9.00 0.00 0.00 310.00 1023.00
8.00 0.00 0.00 285.00 1023.00
10.00 0.00 0.00 304.00 1023.00
9.00 0.00 0.00 299.00 1023.00
9.00 0.00 0.00 298.00 1023.00
10.00 0.00 0.00 294.00 1023.00
12.00 0.00 0.00 287.00 1023.00
10.00 0.00 0.00 286.00 1023.00
12.00 0.00 0.00 281.00 1023.00
12.00 0.00 0.00 280.00 1023.00
12.00 0.00 0.00 277.00 1023.00
12.00 0.00 0.00 275.00 1023.00
13.00 0.00 0.00 273.00 1023.00
12.00 0.00 0.00 276.00 1023.00
14.00 0.00 0.00 277.00 1023.00
16.00 0.00 0.00 275.00 1023.00
15.00 0.00 0.00 274.00 1023.00
17.00 0.00 0.00 275.00 1023.00
17.00 0.00 0.00 275.00 1023.00
16.00 0.00 0.00 275.00 1023.00
17.00 0.00 0.00 275.00 1023.00
17.00 0.00 0.00 275.00 1023.00
22.00 0.00 0.00 275.00 1023.00
18.00 0.00 0.00 275.00 1023.00
18.00 0.00 0.00 276.00 1023.00
18.00 0.00 0.00 274.00 1023.00
17.00 0.00 0.00 273.00 1023.00
18.00 0.00 0.00 273.00 1023.00
22.00 0.00 0.00 273.00 1023.00
21.00 0.00 0.00 268.00 1023.00
22.00 0.00 0.00 267.00 1023.00
21.00 0.00 0.00 268.00 1023.00
22.00 0.00 0.00 267.00 1023.00
22.00 0.00 0.00 270.00 1023.00
21.00 0.00 0.00 274.00 1023.00
26.00 0.00 0.00 273.00 1023.00
26.00 0.00 0.00 270.00 1023.00
26.00 0.00 0.00 269.00 1023.00
24.00 0.00 0.00 270.00 1023.00
25.00 0.00 0.00 269.00 1023.00
25.00 0.00 0.00 269.00 1023.00
25.00 0.00 0.00 267.00 1023.00
29.00 0.00 0.00 265.00 1023.00
29.00 0.00 0.00 258.00 1023.00
27.00 0.00 0.00 246.00 1023.00
27.00 0.00 0.00 237.00 1023.00
28.00 0.00 0.00 238.00 1023.00
27.00 0.00 0.00 236.00 1023.00
26.00 0.00 0.00 225.00 1023.00
27.00 0.00 0.00 212.00 1023.00
31.00 0.00 0.00 209.00 1023.00
30.00 0.00 0.00 203.00 1023.00
32.00 0.00 0.00 199.00 1023.00
31.00 0.00 0.00 195.00 1023.00
30.00 0.00 0.00 191.00 1023.00
29.00 0.00 0.00 186.00 1023.00
29.00 0.00 0.00 189.00 1023.00
33.00 0.00 0.00 193.00 1023.00
34.00 0.00 0.00 188.00 1023.00
36.00 0.00 0.00 184.00 1023.00
35.00 0.00 0.00 185.00 1023.00
34.00 0.00 0.00 181.00 1023.00
33.00 0.00 0.00 182.00 1023.00
32.00 0.00 0.00 179.00 1023.00
33.00 0.00 0.00 179.00 1023.00
33.00 0.00 0.00 182.00 1023.00
36.00 0.00 0.00 185.00 1023.00
37.00 0.00 0.00 182.00 1023.00
39.00 0.00 0.00 172.00 1023.00
36.00 0.00 0.00 171.00 1023.00
36.00 0.00 0.00 170.00 1023.00
37.00 0.00 0.00 168.00 1023.00
37.00 0.00 0.00 170.00 1023.00
37.00 0.00 0.00 165.00 1023.00
35.00 0.00 0.00 164.00 1023.00
35.00 0.00 0.00 171.00 1023.00
36.00 0.00 0.00 183.00 1023.00
40.00 0.00 0.00 173.00 1023.00
41.00 0.00 0.00 173.00 1023.00
40.00 0.00 0.00 172.00 1023.00
40.00 0.00 0.00 171.00 1023.00
38.00 0.00 0.00 171.00 1023.00
38.00 0.00 0.00 168.00 1023.00
37.00 0.00 0.00 151.00 1023.00
38.00 0.00 0.00 140.00 1023.00
38.00 0.00 0.00 145.00 1023.00
39.00 0.00 0.00 155.00 1023.00
41.00 0.00 0.00 144.00 1023.00
41.00 0.00 0.00 139.00 1023.00
41.00 0.00 0.00 131.00 1023.00
41.00 0.00 0.00 127.00 1023.00
39.00 0.00 0.00 122.00 1023.00
39.00 0.00 0.00 115.00 1023.00
39.00 0.00 0.00 113.00 1023.00
39.00 0.00 0.00 112.00 1023.00
38.00 0.00 0.00 112.00 1023.00
39.00 0.00 0.00 114.00 1023.00
40.00 0.00 0.00 113.00 1023.00
42.00 0.00 0.00 111.00 1023.00
44.00 0.00 0.00 111.00 1023.00
43.00 0.00 0.00 108.00 1023.00
43.00 0.00 0.00 109.00 1023.00
42.00 0.00 0.00 108.00 1023.00
42.00 0.00 0.00 108.00 1023.00
40.00 0.00 0.00 108.00 1023.00
40.00 0.00 0.00 107.00 1023.00
40.00 0.00 0.00 107.00 1023.00
40.00 0.00 0.00 108.00 1023.00
40.00 0.00 0.00 111.00 1023.00
43.00 0.00 0.00 114.00 1023.00
44.00 0.00 0.00 114.00 1023.00
47.00 0.00 0.00 113.00 1023.00
47.00 0.00 0.00 113.00 1023.00
45.00 0.00 0.00 114.00 1023.00
46.00 0.00 0.00 112.00 1023.00
44.00 0.00 0.00 109.00 1023.00
43.00 0.00 0.00 99.00 1023.00
43.00 0.00 0.00 108.00 1023.00
43.00 0.00 0.00 112.00 1023.00
44.00 0.00 0.00 112.00 1023.00
45.00 0.00 0.00 112.00 1023.00
